 ,Label,Area,Mean,X,Y
1,Leo_8.JPG,0,40,2094,847.333
2,Leo_8.JPG,0,44,2150.667,807.333
3,Leo_8.JPG,0,84,2170,803.333
4,Leo_8.JPG,0,40,2219.333,830
5,Leo_8.JPG,0,78,2281.333,851.333
6,Leo_8.JPG,0,71,2324,863.333
7,Leo_8.JPG,0,49,2352,871.333
8,Leo_8.JPG,0,36,2351.333,952.667
9,Leo_8.JPG,0,44,2306.667,1023.333
10,Leo_8.JPG,0,39,2264,1069.333
11,Leo_8.JPG,0,49,2346.667,1144.667
12,Leo_8.JPG,0,41,2453.333,1166
13,Leo_8.JPG,0,37,2541.333,1123.333
14,Leo_8.JPG,0,33,2699,1096.333
15,Leo_8.JPG,0,35,2770.333,1085
16,Leo_8.JPG,0,33,2819,1091
17,Leo_8.JPG,0,53,2857,1102.333
18,Leo_8.JPG,0,66,2926.333,1135
19,Leo_8.JPG,0,43,2981,1171
20,Leo_8.JPG,0,33,2951.667,1263.667
21,Leo_8.JPG,0,32,2873.667,1349.667
22,Leo_8.JPG,0,33,2837.667,1381.667
23,Leo_8.JPG,0,39,2870.333,1430.333
24,Leo_8.JPG,0,45,2972.333,1412.333
25,Leo_8.JPG,0,37,3098.333,1381
26,Leo_8.JPG,0,32,3116.333,1300.333
27,Leo_8.JPG,0,31,3016.333,1283
28,Leo_8.JPG,0,65,3221.333,1444.333
29,Leo_8.JPG,0,79,3219.333,1467.667
30,Leo_8.JPG,0,55,3225.333,1525.667
31,Leo_8.JPG,0,118,3230,1545.667
32,Leo_8.JPG,0,48,3130.667,1597.667
33,Leo_8.JPG,0,41,3010.667,1646.333
34,Leo_8.JPG,0,48,2957.333,1672.333
35,Leo_8.JPG,0,31,2862,1713
36,Leo_8.JPG,0,40,2752.667,1723
37,Leo_8.JPG,0,50,2752,1619.667
38,Leo_8.JPG,0,53,2402.667,1866.667
39,Leo_8.JPG,0,43,2374,1956
40,Leo_8.JPG,0,42,2376.667,2019.333
41,Leo_8.JPG,0,37,2373.333,2064.667
42,Leo_8.JPG,0,33,2307.333,2140
43,Leo_8.JPG,0,94,2406,2173.333
44,Leo_8.JPG,0,77,2443.333,2155.333
45,Leo_8.JPG,0,54,2489.333,2143.333
46,Leo_8.JPG,0,50,1680.333,2145
47,Leo_8.JPG,0,225,1627.667,2153
48,Leo_8.JPG,0,167,1599.667,2169
49,Leo_8.JPG,0,26,1585,2177
50,Leo_8.JPG,0,26,1549.667,2198.333
51,Leo_8.JPG,0,26,1597,2307
52,Leo_8.JPG,0,26,1617,2355.667
53,Leo_8.JPG,0,29,1480.333,2460.333
54,Leo_8.JPG,0,50,1303,2475.667
55,Leo_8.JPG,0,114,1281.667,2447.667
56,Leo_8.JPG,0,70,1258.333,2402.333
57,Leo_8.JPG,0,28,1281,2275.667
58,Leo_8.JPG,0,27,1306.333,2125.667
59,Leo_8.JPG,0,103,1208.667,1853.667
60,Leo_8.JPG,0,26,1256.667,1807
61,Leo_8.JPG,0,33,1336,1772.333
62,Leo_8.JPG,0,39,1404.667,1731.667
63,Leo_8.JPG,0,41,1451.333,1697.667
